"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","arrival_time_sort","timepoint"
"296200627","18:43:00","18:43:00","174","7","L.A. Union Station","0","18:43:00","1"
"296200627","18:49:00","18:49:00","130","8","L.A. Union Station","0","18:49:00","1"
"296200627","18:57:00","18:57:00","143","9","L.A. Union Station","0","18:57:00","1"
"296200627","19:20:00","19:20:00","107","10","L.A. Union Station","0","19:20:00","1"
"296200628","18:40:00","18:40:00","107","1","Irvine","0","18:40:00","1"
"296200628","19:05:00","19:05:00","143","2","Irvine","0","19:05:00","1"
"296200628","19:12:00","19:12:00","130","3","Irvine","0","19:12:00","1"
"296200628","19:18:00","19:18:00","174","4","Irvine","0","19:18:00","1"
"296200628","19:25:00","19:25:00","128","5","Irvine","0","19:25:00","1"
"296200628","19:30:00","19:30:00","145","6","Irvine","0","19:30:00","1"
"296200628","19:35:00","19:35:00","154","7","Irvine","0","19:35:00","1"
"296200628","19:41:00","19:41:00","156","8","Irvine","0","19:41:00","1"
"296200628","19:47:00","19:47:00","140","9","Irvine","0","19:47:00","1"
"296200629","19:02:00","19:02:00","141","1","L.A. Union Station","0","19:02:00","1"
"296200629","19:12:00","19:12:00","140","2","L.A. Union Station","0","19:12:00","1"
"296200629","19:20:00","19:20:00","156","3","L.A. Union Station","0","19:20:00","1"
"296200629","19:26:00","19:26:00","154","4","L.A. Union Station","0","19:26:00","1"
"296200629","19:31:00","19:31:00","145","5","L.A. Union Station","0","19:31:00","1"
"296200629","19:36:00","19:36:00","128","6","L.A. Union Station","0","19:36:00","1"
"296200629","19:43:00","19:43:00","174","7","L.A. Union Station","0","19:43:00","1"
"296200629","19:49:00","19:49:00","130","8","L.A. Union Station","0","19:49:00","1"
"296200629","19:57:00","19:57:00","143","9","L.A. Union Station","0","19:57:00","1"
"296200629","20:20:00","20:20:00","107","10","L.A. Union Station","0","20:20:00","1"
"296200631","20:12:00","20:12:00","140","1","L.A. Union Station","0","20:12:00","1"
"296200631","20:20:00","20:20:00","156","2","L.A. Union Station","0","20:20:00","1"
"296200631","20:26:00","20:26:00","154","3","L.A. Union Station","0","20:26:00","1"
"296200631","20:31:00","20:31:00","145","4","L.A. Union Station","0","20:31:00","1"
"296200631","20:36:00","20:36:00","128","5","L.A. Union Station","0","20:36:00","1"
"296200631","20:43:00","20:43:00","174","6","L.A. Union Station","0","20:43:00","1"
"296200631","20:49:00","20:49:00","130","7","L.A. Union Station","0","20:49:00","1"
"296200631","20:57:00","20:57:00","143","8","L.A. Union Station","0","20:57:00","1"
"296200631","21:20:00","21:20:00","107","9","L.A. Union Station","0","21:20:00","1"
"296200634","21:40:00","21:40:00","107","1","Oceanside","0","21:40:00","1"
"296200634","22:05:00","22:05:00","143","2","Oceanside","0","22:05:00","1"
"296200634","22:12:00","22:12:00","130","3","Oceanside","0","22:12:00","1"
"296200634","22:18:00","22:18:00","174","4","Oceanside","0","22:18:00","1"
"296200634","22:25:00","22:25:00","128","5","Oceanside","0","22:25:00","1"
"296200634","22:30:00","22:30:00","145","6","Oceanside","0","22:30:00","1"
"296200634","22:35:00","22:35:00","154","7","Oceanside","0","22:35:00","1"
"296200634","22:41:00","22:41:00","156","8","Oceanside","0","22:41:00","1"
"296200634","22:48:00","22:48:00","140","9","Oceanside","0","22:48:00","1"
"296200634","22:58:00","22:58:00","141","10","Oceanside","0","22:58:00","1"
"296200634","23:05:00","23:05:00","153","11","Oceanside","0","23:05:00","1"
"296200634","23:15:00","23:15:00","152","12","Oceanside","0","23:15:00","1"
"296200634","23:38:00","23:38:00","144","13","Oceanside","0","23:38:00","1"
"296300901","08:27:00","08:27:00","144","1","L.A. Union Station","0","08:27:00","1"
"296300901","08:50:00","08:50:00","133","2","L.A. Union Station","0","08:50:00","1"
"296300901","08:53:00","08:53:00","152","3","L.A. Union Station","0","08:53:00","1"
"296300901","09:05:00","09:05:00","153","4","L.A. Union Station","0","09:05:00","1"
"296300901","09:11:00","09:11:00","141","5","L.A. Union Station","0","09:11:00","1"
"296300901","09:21:00","09:21:00","140","6","L.A. Union Station","0","09:21:00","1"
